"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"315ABU","315ABU",103,2.3,3000,0,0,0.1,2.3,9.05,41.24,51.4846601941748,14,13.5922330097087,11,10.6796116504854
"315ANN","315ANN",22,2.05,955.3,0,0.01,0.7,2.05,8.6,54.8100000000001,58.2863636363636,3,13.6363636363636,3,13.6363636363636
"315APC","315APC",45,2.88,836,0,0,0.82,2.88,11.5,39.24,42.1873333333333,6,13.3333333333333,5,11.1111111111111
"315APF","315APF",46,2.03,1052,0.1,0.1,0.9275,2.03,4.93,154.6,57.079347826087,7,15.2173913043478,7,15.2173913043478
"315ATA","315ATA",100,2.9,788,0,0,0.1,2.9,11.525,29.83,26.2384,14,14,8,8
"315ATU","315ATU",22,5.9,832.3,0,0,1.525,5.9,22.35,146.9,72.6227272727273,5,22.7272727272727,4,18.1818181818182
"315BEF","315BEF",75,3,3000,0.1,0.1,1.35,3,13.75,189.000000000001,173.929066666667,13,17.3333333333333,10,13.3333333333333
"315BEL","315BEL",22,2.05,1001,0,0,0.025,2.05,12.825,283.780000000001,81.8363636363636,4,18.1818181818182,3,13.6363636363636
"315CAP","315CAP",18,0.1,125.2,0,0,0,0.1,0.475,26.8900000000001,11.6277777777778,2,11.1111111111111,2,11.1111111111111
"315CAU","315CAU",6,0.05,304.3,0,0,0,0.05,1.525,153.15,51.0666666666667,1,16.6666666666667,1,16.6666666666667
"315CRP","315CRP",91,0.1,1001,0,0,0,0.1,3.3,10.7,19.8492307692308,8,8.79120879120879,4,4.3956043956044
"315DEV","315DEV",15,24.9,262.2,0,4.8,14.6,24.9,54,92.72,48.22,7,46.6666666666667,5,33.3333333333333
"315DOS","315DOS",18,0.15,457.1,0,0,0.1,0.15,1.6,24.68,29.8,2,11.1111111111111,2,11.1111111111111
"315FMV","315FMV",88,3.485,671.6,0.1,0.996,2.1575,3.485,6.4475,62.8,33.1746477272727,16,18.1818181818182,13,14.7727272727273
"315FRC","315FRC",102,0.1,817.5,0,0,0,0.1,3.3,24.38,17.5409803921569,10,9.80392156862745,8,7.84313725490196
"315GAI","315GAI",17,1.9,54.5,0,0,0.1,1.9,2.5,20.84,7.07647058823529,2,11.7647058823529,1,5.88235294117647
"315GAN","315GAN",89,4.05,3000,0.1,0.5,1.98,4.05,14.9,70.12,77.6096629213483,14,15.7303370786517,12,13.4831460674157
"315GAV","315GAV",88,0.1,2044,0,0,0,0.1,3.35,31.2,45.1225,11,12.5,9,10.2272727272727
"315GBR","315GBR",7,1.8,2224,0.1,0.1,0.75,1.8,3.53,892.156000000001,319.208571428571,1,14.2857142857143,1,14.2857142857143
"315GOS","315GOS",1,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,368.8,1,100,1,100
"315JAL","315JAL",75,0.5,958,0,0,0,0.5,3.05,9.74000000000002,28.2662666666667,4,5.33333333333333,3,4
"315LCC","315LCC",7,4,11.6,1.73,2.378,3.2,4,7.47,9.542,5.52428571428571,0,0,0,0
"315LCR","315LCR",5,11.2,31.2,3.5,4.86,6.9,11.2,20.5,26.92,14.66,1,20,0,0
"315MIS","315MIS",100,0.85,1179,0,0,0,0.85,5.45,15.77,22.8901,7,7,5,5
"315MIU","315MIU",19,0.5,542,0,0,0.1,0.5,1.5,25.24,33.0105263157895,2,10.5263157894737,2,10.5263157894737
"315MTC","315MTC",10,7.2,259.9,0,0,0.1,7.2,19.65,46.2399999999999,33.3,1,10,1,10
"315MYC","315MYC",10,38.1,981.8,0,3.96,9.9,38.1,95.175,712.7,194.01,6,60,5,50
"315RIN","315RIN",105,9,3000,0,0.1,0.8,9,30.5,137.1,92.3508571428571,31,29.5238095238095,21,20
"315ROM","315ROM",15,0.1,738.2,0,0,0.05,0.1,5.7,56.72,56.6533333333333,2,13.3333333333333,2,13.3333333333333
"315RSB","315RSB",21,0.1,366,0,0,0,0.1,1.8,5.4,19.5095238095238,1,4.76190476190476,1,4.76190476190476
"315SCC","315SCC",19,5.9,731,0,0,0.55,5.9,31.95,237.4,83.0421052631579,5,26.3157894736842,5,26.3157894736842
"315SJC","315SJC",19,4.6,1001,0,0,0.35,4.6,17.45,96.1799999999998,75.6263157894737,3,15.7894736842105,3,15.7894736842105
"315SJH","315SJH",1,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,1,100,0,0
"315SMC","315SMC",16,7.3,1001,0,0,0.075,7.3,26.9,117,84.68125,4,25,4,25
"315SPC","315SPC",16,2.05,1001,0,0,0.375,2.05,22.9,528,133.4,4,25,4,25
"315TCI","315TCI",24,2.55,1001,0,0,0,2.55,7.325,148.83,81.9958333333333,5,20.8333333333333,4,16.6666666666667
"315TOR","315TOR",11,1.6,724.1,0,0,0,1.6,13.15,149.6,82.5090909090909,2,18.1818181818182,2,18.1818181818182
"315YSI","315YSI",8,0.35,257.7,0,0,0.075,0.35,9.5,100.13,36.6125,2,25,1,12.5
"317CHO","317CHO",16,1.35,189.3,0,0,0.1,1.35,15.975,26.9,18.5625,3,18.75,1,6.25
"317CHO2","317CHO2",4,12.25,21.8,0,0.9,2.25,12.25,21.575,21.71,11.575,0,0,0,0
"317ESE","317ESE",16,7.4,3000,0,0,0.075,7.4,30.825,219.45,221.9125,5,31.25,3,18.75
"317EST","317EST",4,21.25,650,0.47,5.279,12.4925,21.25,182,462.8,173.2425,2,50,1,25
"CL-3000-000","CL-3000-000",5,33.4,62.1,18.1,23.94,32.7,33.4,48.2,56.54,38.9,4,80,2,40
"CMWAP00","CMWAP00",43,6.6,117,1.07,2.322,3.455,6.6,10.535,16.93,11.6386046511628,3,6.97674418604651,2,4.65116279069767
"CMWCL00","CMWCL00",39,6.34,50.47,1.48,1.926,2.835,6.34,10.45,32.854,11.144358974359,6,15.3846153846154,3,7.69230769230769
"CMWCM00","CMWCM00",33,2.87,60.4,0.81,1.634,2.22,2.87,4.56,10.83,6.98636363636364,3,9.09090909090909,1,3.03030303030303
"CMWCM01","CMWCM01",34,6.195,19,1.89,3.472,4.0025,6.195,9.24,16.05,7.68941176470588,0,0,0,0
"CMWCP00","CMWCP00",35,2.74,110,0.5,0.826,1.265,2.74,4.465,29.842,9.25942857142857,5,14.2857142857143,1,2.85714285714286
"CMWFK00","CMWFK00",40,2.54,47,0.73,0.969,1.475,2.54,5.7425,8.87,4.77675,1,2.5,1,2.5
