comid,monitored
17636374,1
17636590,1
17636144,1
17636216,1
17636402,1
17636382,1
17636780,1
17636696,1
17636694,1
17638090,1
17641186,1
17636414,1
17636400,1
17636188,1
17636142,1
17636744,1
17636798,1
17636654,1
17636748,1
17636864,1
17638068,1
17641188,1
17636432,1
17636556,1
17636206,1
17636284,1
17636104,1
17636106,1
17637876,1
17636896,1
17636624,1
17636728,1
17636890,1
17638076,1
17641190,1
17636450,1
17636448,1
17636214,1
17636202,1
17636074,1
17636078,1
17637004,1
17637880,1
17636634,1
17636622,1
17636844,1
17638070,1
17641192,1
17636464,1
17636234,1
17636316,1
17636642,1
17636706,1
17636848,1
17636940,1
17636854,1
17638072,1
17641194,1
17636558,1
17636830,1
17636226,1
17636240,1
17636646,1
17636640,1
17636850,1
17636846,1
17636902,1
17636900,1
17636974,1
17638074,1
17641196,1
17636592,1
17636570,1
17636192,1
17636244,1
17636326,1
17636324,1
17636588,1
17636718,1
17636566,1
17636564,1
17636834,1
17636888,1
17636788,1
17636790,1
17637012,1
17636892,1
17638092,1
17641198,1
17636636,1
17636758,1
17636174,1
17636146,1
17636278,1
17636242,1
17636528,1
17636660,1
17636488,1
17636490,1
17636816,1
17636856,1
17637026,1
17638078,1
17641200,1
17636664,1
17636746,1
17636516,1
17636518,1
17636814,1
17636802,1
17636956,1
17638080,1
17641202,1
17636672,1
17636824,1
17636504,1
17636506,1
17636812,1
17636862,1
17636994,1
17638082,1
17641204,1
17636690,1
17636674,1
17636552,1
17636502,1
17636418,1
17637900,1
17638022,1
17641206,1
17636716,1
17636692,1
17636560,1
17636550,1
17636376,1
17636386,1
17637898,1
17637066,1
17637028,1
17638024,1
17641208,1
17636720,1
17636722,1
17636712,1
17636666,1
17636596,1
17636676,1
17636426,1
17637038,1
17638026,1
17641210,1
17636732,1
17636724,1
17636730,1
17636594,1
17636606,1
17637902,1
17638028,1
17641212,1
17636764,1
17636582,1
17636584,1
17636710,1
17636604,1
17637044,1
17637906,1
17637072,1
17638030,1
17641214,1
17636778,1
17636768,1
17636538,1
17636540,1
17636616,1
17636650,1
17637016,1
17637018,1
17637100,1
17638032,1
17641216,1
17636840,1
17636792,1
17636524,1
17636522,1
17636682,1
17636714,1
17636976,1
17636978,1
17637006,1
17637008,1
17637122,1
17638034,1
17641218,1
17636866,1
17636876,1
17636498,1
17636500,1
948060210,1
17636954,1
17636952,1
17637142,1
17638036,1
17641220,1
17636872,1
17636942,1
17636880,1
17636924,1
17636492,1
17636578,1
948060209,1
948060100,1
17636948,1
17636944,1
17637126,1
17637124,1
17637210,1
17638038,1
17641222,1
17636898,1
17636870,1
17636964,1
17636930,1
17636484,1
17636480,1
17636612,1
17636670,1
948060099,1
948060211,1
17636910,1
17637912,1
17637910,1
17637908,1
17637092,1
17637108,1
17637094,1
17637238,1
17638040,1
