"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"309CAW174","309CAW174",2,0.46,0.63,0.29,0.324,0.375,0.46,0.545,0.596,0.46,0,0,0,0
"309CAW178","309CAW178",1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0
"309CAW182","309CAW182",1,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0,0
"309CAW194","309CAW194",1,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0,0,0,0
"309CCD","309CCD",30,70.35,1630,7,16.92,29.825,70.35,466,697.8,283.026666666667,23,76.6666666666667,20,66.6666666666667
"309CLCBVC","309CLCBVC",1,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,0,0,0,0
"309CRR","309CRR",26,1567.5,4180,13.8,170.7,533.25,1567.5,2792,3000,1634.84230769231,25,96.1538461538462,25,96.1538461538462
"309DAV","309DAV",76,9.4,81.5,0,0.19,3,9.4,46.725,56.5,22.4286842105263,25,32.8947368421053,22,28.9473684210526
"309DSA","309DSA",16,4.45,16,0,0.25,1.985,4.45,5.875,8.35,4.715,0,0,0,0
"309ESP","309ESP",67,68.9,3000,0.1,5.72,13.35,68.9,217,507.2,210.641791044776,45,67.1641791044776,43,64.1791044776119
"309GAB","309GAB",33,189.6,3000,0,5.94,40.7,189.6,370.5,1911.2,561.136363636364,27,81.8181818181818,25,75.7575757575758
"309GRN","309GRN",64,25.95,694,0.2,8.8,12.75,25.95,46,85.6300000000001,45.0809375,33,51.5625,22,34.375
"309HRT","309HRT",4,1126.5,1516,535,708.7,969.25,1126.5,1233.25,1402.9,1076,4,100,4,100
"309JON","309JON",69,24.8,3000,0,5.26,18,24.8,43.7,86.74,79.4304347826087,34,49.2753623188406,22,31.8840579710145
"309KNG","309KNG",16,20.05,176.7,1.5,7.2,11.875,20.05,24.4,30.95,27.54375,3,18.75,1,6.25
"309LAS1MI","309LAS1MI",1,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0,0,0,0
"309LOK","309LOK",1,230,230,230,230,230,230,230,230,230,1,100,1,100
"309LOR","309LOR",8,0.88,800,0,0.273,0.4725,0.88,1.975,243.01,101.01875,1,12.5,1,12.5
"309MER","309MER",69,76,3000,4.1,22.4,42.3,76,122,182.96,131.023188405797,61,88.4057971014493,54,78.2608695652174
"309MOR","309MOR",85,10.5,3000,0,0.22,3.3,10.5,26.6,59.54,55.3541176470588,23,27.0588235294118,14,16.4705882352941
"309NAC","309NAC",15,1.9,9.3,0,0.332,1.4,1.9,4.05,4.7,2.69866666666667,0,0,0,0
"309NAD","309NAD",72,105.5,3000,10.8,26.69,52.6,105.5,245.75,523.2,255.644444444444,65,90.2777777777778,58,80.5555555555556
"309NAF","309NAF",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309OLD","309OLD",131,75.3,3000,0.16,12.1,29.3,75.3,152.35,238.7,127.14679389313,102,77.8625954198473,89,67.9389312977099
"309POT","309POT",6,45.55,121.7,25,32.15,40.75,45.55,49.75,86.35,54.6833333333333,6,100,4,66.6666666666667
"309PS0040","309PS0040",1,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,1,100,0,0
"309PS0043","309PS0043",1,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,0,0,0,0
"309PS0072","309PS0072",1,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,1,100,0,0
"309PS0116","309PS0116",1,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0
"309PSO","309PSO",9,0.4,9.1,0,0,0.1,0.4,0.75,6.94,1.93111111111111,0,0,0,0
"309QCW","309QCW",4,1127,3000,46.8,193.26,412.95,1127,2039.25,2615.7,1325.2,4,100,4,100
"309QUA","309QUA",19,240,3000,7.2,11.66,37.95,240,319.5,650,372.831578947368,15,78.9473684210526,13,68.4210526315789
"309QUI","309QUI",55,83.5,3000,0,14.2,29.1,83.5,272.65,623.4,304.638181818182,43,78.1818181818182,36,65.4545454545455
"309RTA","309RTA",20,93.5,8023,11.8,31.53,51.15,93.5,214.425,443,541.62,18,90,16,80
"309SAC","309SAC",55,53.7,254,1.6,16.34,34.2,53.7,92.8,130.3,70.4945454545455,46,83.6363636363636,36,65.4545454545455
"309SAG","309SAG",37,53.8,344.6,11.5,19.3,29.2,53.8,101.3,199.86,87.2810810810811,32,86.4864864864865,23,62.1621621621622
"309SALDBD","309SALDBD",1,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,0,0,0,0
"309SALDDM","309SALDDM",1,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,0,0,0,0
"309SALUBD","309SALUBD",1,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,0,0,0,0
"309SAN","309SAN",16,0.68,6,0,0,0.075,0.68,1.95,2.65,1.24125,0,0,0,0
"309SAP","309SAP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309SARANF","309SARANF",1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0,0,0,0
"309SAS","309SAS",5,18.3,53.7,0.1,6.42,15.9,18.3,46,50.62,26.8,2,40,2,40
"309SAT","309SAT",6,0.975,2.6,0,0,0.1375,0.975,1.85,2.3,1.09166666666667,0,0,0,0
"309SBC","309SBC",4,270.9,474,106.1,120.47,142.025,270.9,409.35,448.14,280.475,4,100,4,100
"309SBR","309SBR",17,17,47,1.1,3.56,7.5,17,31,41.84,20.0235294117647,6,35.2941176470588,3,17.6470588235294
